content,score,at
percobaan,5,2015-03-31 15:41:24
muantep,5,2015-04-17 09:12:38
mantap,5,2014-12-20 13:11:15
login sekolah,5,2015-02-28 05:00:20
bermanfaat,5,2015-02-16 15:17:00
mkasih ya,5,2015-03-08 18:32:35
i like it,5,2014-12-31 16:32:06
bagus tingkatkan,5,2014-12-06 06:18:36
perlu dikembangkan,5,2015-03-29 15:04:16
sgt membantu,5,2015-03-23 22:52:39
sangat membantu,5,2015-04-11 09:16:43
so simply,5,2015-02-11 00:10:44
sangat membantu,5,2015-02-08 17:00:12
sangat membantu,5,2015-02-27 14:18:04
sangat membantu,5,2015-03-12 11:16:44
sangat memudahkan,5,2015-03-14 23:47:02
good aplikasi,5,2014-12-31 11:54:22
luar biasa,5,2015-04-07 12:17:47
top banget,5,2015-03-04 18:40:19
ok banget,5,2015-02-05 21:24:37
sangat membantu,5,2015-03-15 14:22:58
mantaf boss,5,2015-04-09 10:26:23
sangat suka,5,2015-02-19 15:09:40
oke banget,5,2014-12-27 11:16:12
padamu top,5,2015-04-07 21:17:57
akuny keren,5,2015-03-10 20:26:00
sangat bagus,5,2015-03-04 00:25:27
suka sekali,5,2015-04-03 09:58:00
memudahkan sekali,5,2015-01-01 10:50:02
mudah dan simpel,5,2015-02-15 17:58:54
sangat membantu,5,2015-02-19 11:02:21
akses cepat,5,2015-02-24 15:56:45
sangat baik,5,2015-04-06 07:52:28
dia asiik,5,2015-03-20 19:18:20
sangat suka,5,2015-02-24 16:38:38
goods aplikasi,5,2015-03-16 23:32:02
sangat membantu,5,2014-12-25 20:57:39
sangat membantu,5,2015-04-10 07:10:28
nice application,5,2015-02-10 21:49:50
bermanfaat untuk ptk,5,2014-12-11 19:16:50
terima kasih,5,2015-02-02 21:00:10
hebat,5,2015-01-21 21:14:20
semoga dapat mempermudah akses informasi ptk,5,2014-12-01 09:51:09
membantu membuka jalur informasi ptk,5,2014-11-29 02:25:25
nice,5,2014-12-05 10:53:51
keren,5,2014-11-29 09:55:27
padamu negeri,5,2014-11-30 16:07:06
dengan fasilitas login ptk maka update sata tidak harus melalui operator sekolah hal ini meringankan beban operator,5,2014-11-22 08:09:54
sangat membantu untuk pengecekan update data guru,5,2014-11-06 13:10:10
separuh nafas bagi seluruh guru di indonesia,5,2014-10-31 17:04:41
smoga pendidikan indonesia maju terus,5,2014-11-05 15:35:26
memang uhuiiiiii top markotop,5,2014-11-17 10:42:42
siap ptk ini mantap,5,2014-11-13 09:02:16
aplikasi cukup bagus,5,2014-11-03 21:10:18
memudahkan mengecek ptk,5,2014-11-12 19:30:23
best,5,2014-11-23 11:21:28
keren,5,2014-11-21 19:55:56
good,5,2014-11-23 14:28:20
qreen,5,2014-11-20 22:40:37
bagus,5,2014-11-20 14:03:07
mantapks,5,2014-11-04 09:14:18
ssngat suka,5,2014-11-23 17:33:29
mantap kaki,5,2016-02-13 17:27:39
very good,5,2014-11-27 12:33:43
saya harap agar aplikasi padamu bukan hanya ptk saja tetapi padamu operator siswa dan lain jga dikembangkan,5,2014-10-21 16:09:25
mohon di tingkatkan kembali aplikasinya kalo bisa agar kita bisa cetak kartu lewat aplikasi ini,5,2014-10-23 15:04:26
setiap  semester di aktifkan jadi lebih jelas mana guru yg masih aktif,5,2014-09-23 19:06:14
klo bs server nya dpermudah login,5,2014-10-03 10:51:50
sangat membantu untuk para gurutingkatkan terus,5,2014-10-13 07:59:22
kenapa punya saya tidak valid ptk nya,5,2014-10-24 19:41:35
bisakah d  krja d android k,5,2014-09-27 21:34:03
menuju era guru melek internet,5,2014-09-29 20:59:16
lebih ditambah menu yg lain,5,2014-10-26 16:47:08
sangat membantu bagi semua guru,5,2014-09-28 21:22:35
ini sangat bermanfaat untuj keperluan guru,5,2014-10-14 11:25:01
aplikasi ini sangat membantu ptk seindonesia,5,2014-10-16 05:04:10
hebatlbh simple,5,2014-10-06 03:34:42
bagusmudah diakses,5,2014-10-02 09:23:07
sangat membantu para guru,5,2014-10-20 05:45:27
inovasi telkom  indonesia,5,2014-10-03 06:35:49
kembangkan terus untuk pendidikan indonesia,5,2014-10-02 09:54:36
sangat mudah dan bermanfaat sekali,5,2014-10-20 19:18:39
memberi kemudahan kepada ptk,5,2014-10-04 17:44:17
sangat membantu dlm bekerja,5,2014-10-19 12:07:30
bagus namun perlu di tingkatan lagi,5,2014-10-16 14:45:18
sangat membantu dunia pendidikan,5,2014-10-20 21:07:14
kembangkan menjadi lebih baik,5,2014-10-11 08:02:19
sangat membantu,5,2014-10-11 22:44:45
sangat bermanfaat,5,2014-10-03 09:36:29
siap ptk mantap,5,2014-10-15 14:28:50
memudahkan pengguna ptk,5,2014-10-04 19:21:37
solusi di luar ruangan,5,2014-10-10 19:35:52
ni aplikasi mantap,5,2014-10-17 20:53:44
mudahan servernya juga bagus,5,2014-10-06 08:20:57
good,5,2014-10-19 16:41:19
ok,5,2014-10-09 07:44:38
lanjut,5,2014-10-22 17:03:37
suka,5,2014-10-10 15:57:04
mantap,5,2014-09-24 14:26:32
bagus,5,2014-10-23 18:02:18
ok,5,2014-09-22 16:33:32
puki,5,2014-10-12 03:11:54
yoi,5,2014-09-22 15:13:33
siiiip,5,2014-09-29 11:02:02
mantap,5,2014-10-15 17:38:19
oke,5,2014-10-09 07:00:18
oke,5,2014-10-12 19:38:21
semoha sukses,5,2014-10-17 19:59:29
siiip pokoknya,5,2014-10-16 07:16:20
sgt membantu,5,2014-10-05 08:37:57
baik untuk ptk,5,2014-09-23 19:15:20
memudahkan para guru,5,2014-10-26 21:57:51
very helpful,5,2014-10-17 10:43:40
aplikasi bagus,5,2014-10-12 02:28:40
menarik sekali,5,2014-10-06 10:28:42
sangat membantu,5,2014-09-25 09:07:45
like it,5,2014-09-29 13:20:08
good,5,2014-10-24 06:15:56
aplikasi yg sangat bagus smg pengembangannya akan segera di wujudkan terutama menu yg masih sebatas judul menu yg ketika diklik belum ada isinya salam sukses,5,2014-08-29 18:59:05
instal apl ini pada smartphone anda karena sangat membantu dalam mengakses info sehuhungan dengan kependidikan,5,2014-05-25 09:26:21
membantu pendidik dan tenaga kependidikan,5,2014-08-25 12:26:21
sangat menunjang dlm memajukan pendidikan di indonesia,5,2014-08-26 22:18:50
memudahkan ptk mengakses padamu negeri lewat aplikasi ini,5,2014-08-31 20:16:28
aplikasi yg sangat berguna dan banyak manfaatnya,5,2014-08-26 19:09:04
lebih cepat di akses di hp peserta,5,2014-09-20 08:25:58
aplikasi yang bagus untuk seluruh ptk di indonesia,5,2014-09-09 15:35:59
aplikasi yang sangat baik,5,2014-08-27 14:08:10
sangat membantu untuk dunia pendidikan,5,2014-07-15 09:14:33
semoga lebih baik lagi,5,2014-08-29 11:48:43
membantu guru membenahi diri,5,2014-08-21 07:00:09
banyak informasi yang bermanfaat dan ok,5,2014-08-25 10:47:40
sangat menunjang dimanapun berada,5,2014-09-01 22:22:52
bagus dan sangat membantu para guru,5,2014-08-18 20:10:45
siiip banget ,5,2014-09-01 07:19:19
keren banget,5,2014-09-04 21:52:30
bagus banget,5,2014-09-18 04:22:08
perlu dicoba,5,2014-09-15 17:43:13
sangat efisien,5,2014-06-01 14:17:25
thanks atas aplikasinya,5,2014-08-31 20:49:07
mantap siap ptk,5,2014-09-08 11:33:44
sangat membantu ptk,5,2014-06-06 11:16:37
bagus utk ptk,5,2014-09-16 22:15:56
bagus wilayah tak berbataa,5,2014-09-06 21:59:12
semakin update padamu,5,2014-08-26 16:43:42
keren,5,2014-05-27 19:59:19
good,5,2014-11-07 22:23:10
siiiipppp,5,2014-05-23 10:03:41
siip,5,2014-08-31 13:12:37
tingkatkan,5,2014-07-18 16:03:59
siip,5,2014-09-02 23:14:23
siap,5,2014-09-04 14:37:00
tingkatkan,5,2014-08-22 09:04:45
ok,5,2014-09-01 16:26:04
like,5,2014-08-28 09:07:42
kalitowo,5,2014-06-06 16:30:10
bagus,5,2014-09-03 20:22:38
pertamax,5,2014-05-20 09:47:55
good,5,2014-09-08 19:06:53
ok,5,2014-08-30 12:37:03
ok,5,2014-09-01 23:59:12
nice,5,2014-08-31 09:13:57
muantap,5,2014-08-27 20:57:31
good,5,2014-09-11 16:52:23
sip,5,2014-06-09 21:37:29
software,5,2014-08-06 06:27:46
ya,5,2014-09-08 11:23:44
nice,5,2014-05-23 01:47:27
oke,5,2014-09-08 18:17:43
mantap,5,2014-05-28 08:16:47
manfaat,5,2014-09-05 16:16:08
goood,5,2014-07-06 21:29:22
mantab,5,2014-08-19 21:45:09
bagus,5,2014-08-28 23:10:44
tembusss,5,2014-09-01 07:54:40
ok,5,2014-09-07 21:20:24
mantap,5,2014-09-20 15:20:45
joss,5,2014-06-14 16:49:47
memudahkan ptk,5,2014-07-08 04:52:18
best services,5,2014-08-27 21:33:04
top banget,5,2014-09-06 09:32:56
sangat di butuhkan,5,2014-09-01 16:58:35
luar biasa,5,2016-04-06 21:03:14
siap ptk,5,2014-09-06 21:17:35
sangat membantu,5,2014-09-02 10:05:13
sangat membantu,5,2014-08-25 09:29:40
okey bro,5,2014-09-13 11:05:09
bagus prohramnya,5,2014-08-29 07:32:25
good aplikasi,5,2014-08-23 11:51:34
i love you,5,2014-07-14 07:56:50
sangat membantu,5,2014-05-23 16:51:19
akses cepat,5,2014-05-25 11:42:38
sangat membantu,5,2014-08-24 06:57:50
padsmu negeri,5,2014-06-10 11:52:25
bagus untuk guru,5,2014-09-20 20:35:22
sangat mambantu,5,2014-09-13 05:37:23
mdh aplikasi ini berguna utk padamu negeri,5,2014-04-23 08:53:36
markotop,5,2014-04-21 21:05:17
muantaaaaap,5,2014-04-21 19:36:54
kemajuan baru,5,2014-04-21 18:52:06
sangat bagus,5,2014-04-24 07:22:29
kalau boleh usul aplikasinya bisa langsung buat ngusulin nuptk baru biar nggak ribet mksh bt pengembang app sukses sllumet berkarya,5,2015-12-31 22:31:44
saya sangat terbantu dg aplikasi ini tuk meng up date verifikasi saya sbg pendidik yg selalu membutuhkan perkembangan informasi d segala bidang khususnya berita yg menyangkut perkembangan pendidikan yg cukup pesat dlm meningkatkan sdm,5,2014-10-03 07:57:04
sangat membantu bagi guruguru cuman msh banyak yg belum bisa mengakses krn kurangnya layanan data di daerah terpencil,5,2014-09-29 11:24:48
senang sekali sdh disediakan apps siap ptk shingga memudahkan para ptk dlm mendapatkan info terkini dr program padamu thanks,5,2014-10-03 11:27:20
aplikasi ini memudahkan ptk untuk melihat dan mempercepat kinerja tanpa harus kewarnet atau cari komputer untuk online,5,2014-10-19 12:42:35
semogadengan layanan ini kami para guru honorer bisa secepatnya mendapat nuptkdan ada kesempatan untuk menjadi pns amien,5,2016-10-26 21:31:06
tolong aplikasinya supaya lwat hp juga bisa mengatifkan nuptk agar lbih mudah menggunakannya bisa di save dandicetak kpan saja,5,2016-01-11 21:44:25
sangat membantu bagi guru honorer yg lg pusiiing nunggu cair dana pahlawan he he,5,2017-03-20 15:01:24
memudahkan guru untuk beriteraksi dgn puasat kami sangat puas dengan adanya aplikasi ini di hp anroid,5,2015-01-01 11:39:22
keren nih apps ny bisa cek data kapan dan dimana saja,5,2015-04-06 09:52:15
dengan adanya program ini dpt mempermudah dunia pendidikan terutama yg lokasina di daerah terpencil,5,2014-12-10 20:18:03
mempermudah cek n validasi data ptkoky banget,5,2015-03-10 21:09:24
semangat ya bagi guru yg blm mndpt nuptksmg kedepanny mnjd lebih baikamin,5,2016-07-08 14:32:49
wah alhamdulillah memudahkan sekali bagi saya yg guru untuk mendapatkan info ptk thnx telkomsel,5,2014-10-03 22:05:28
aplikasi yg sangat membantu sekalimeski masih ada kekurangan,5,2017-07-17 09:47:18
semoga smua guru ra smuany bisa mndpt kan nuptk,5,2016-08-18 12:22:05
aplikasi ini sangat membantu semua kawan ptk dlam meng akses data ptk,5,2014-12-04 19:50:54
mantap majulah indonesiaku dengan aplikasi ini guru beroleh informasi yang tepat dan akurat,5,2017-04-21 09:41:34
download siap ptk sangat membantu saya like banget,5,2015-01-27 19:34:39
siap ptk ibarat lemon tea di padang pasir begitulah kirakira,5,2016-09-11 08:20:14
perjuangan membimbing  mendidik putra putri bangsa menuju kebahagiaan duniaakhirat,5,2017-01-06 22:41:10
baik untuk di kembangkan tapi harus di barengi akses internet sampai kepeloporan desa,5,2014-12-31 08:45:17
di butuhkan untuk para guru yg ada di indonesia,5,2014-09-18 07:42:58
siiip ndak ada kt lain,5,2017-02-14 14:35:01
alhamdulillah mempermudah dgn adanya aplikasi park,5,2015-03-27 00:36:30
semoga mempermudah login ptk tanpa harus membawa laptop,5,2015-03-02 22:22:21
alhamdulillah sangat membantu semoga sukses selalu,5,2024-11-06 04:49:30
luar biasa bisa akses lewat hp,5,2014-11-30 15:51:11
bisa untuk mempermudah ptk login dan menemukan ptknya,5,2017-12-31 22:38:33
mudah an bisa membantu update data guru,5,2015-03-04 15:41:17
sangat membantu untuk mengetahui kuakitas pendiduk ,5,2015-05-30 17:28:22
kereeennn sangat memudahkan buat semuanyaa,5,2015-02-17 18:08:41
sangat membantu guru khususnya di bawa naungan kemenag,5,2018-03-07 11:47:27
apliksi ini sngt mempermudah akses informasi ptk sy,5,2014-10-14 19:06:20
sangat memudahkan saya dalam mengecek data saya ,5,2015-02-13 05:43:13
siap ptk  sangat praktis buat cek data ptk,5,2015-03-12 23:45:51
kualitas mutunya ditingkatkan lgi,5,2015-05-22 13:34:21
pokoknya hebat dehsalam guru katingan,5,2015-03-29 20:06:53
sngat membantu sy sebagai kepala sekolah dan staf,5,2017-10-04 07:08:58
sangat membantu aplikasi ini,5,2015-05-25 03:17:43
mudahn lebih ditingkatkan,5,2015-01-05 16:17:15
dengan fitur layanan ini kita dapat mengakses ptk dengan mudah,5,2015-06-05 21:51:30
dpt mempermudah access admin,5,2015-03-07 18:18:10
memudahkan bagi para ptk i like it,5,2015-02-14 17:09:13
opera mini yeah,5,2016-06-16 22:34:49
aplikasi yg memudahkan terima kasih,5,2015-08-03 12:00:28
kita harapkan pendidikan lebih maju,5,2015-05-04 14:40:58
sangat membatu mengcek status ptk,5,2015-03-06 08:02:20
memudahkan kita mencati informasi tentang ptk,5,2015-02-05 06:37:09
memudahkan dalam mengecek data sekolah,5,2014-11-13 20:54:34
mdhan membantu dalam update data,5,2015-06-18 14:44:52
terikasih dgn adanya layananini kita cukup terbantu,5,2017-09-17 18:30:03
good jobs thanks,5,2018-05-24 08:03:48
semoga saja bermanfaat,5,2017-03-21 10:29:36
makasih sangat bermanfaat,5,2015-02-10 11:22:38
semoga berkah dengan aplikasi ini,5,2018-01-14 07:24:13
semakin di dipermudah  cara untuk mengerti,5,2015-02-25 15:15:09
aplikasi yg luar biasa,5,2014-12-14 11:13:19
sangat penting terima kasih,5,2014-09-25 05:09:19
membantu dalam mengecek nuptk,5,2015-08-12 17:40:41
sangat membantu adm guru,5,2015-03-12 00:59:35
bisa membantu kinerja guru,5,2015-02-10 13:39:29
sangat memuaskan dengan tampilan yang lengkap,5,2017-10-26 05:38:08
luar biasa allahu akbar,5,2021-01-02 04:32:59
mengetahui info ptk terimakasih,5,2015-05-02 09:59:26
mempermudah mengecek data ptk,5,2017-08-09 16:14:23
aplikasi ini sangat membantu paravguru,5,2015-10-08 07:47:04
sangat membantu bagi pak,5,2015-03-09 16:49:44
sangat penting buat guru,5,2015-08-15 14:23:21
bagus sangat membantu,5,2015-03-14 05:44:27
mantap,5,2018-02-11 13:32:07
sangat bermanfaat,5,2015-02-16 21:44:53
lanjutkan ,5,2014-09-25 12:13:11
ok sangt membantu,5,2015-06-16 14:20:22
aplikasi ini yes,5,2017-12-06 09:29:46
sangat mudah   ,5,2016-02-27 21:02:41
bagus trims,5,2015-02-09 11:58:16
sangat membantu pendidikmakasih,5,2018-04-27 04:02:05
padamusiap,5,2015-02-27 13:10:53
good good good,5,2014-10-16 08:20:33
mempermudah admin sklh,5,2015-03-10 16:00:26
alhm ada layanan ini,5,2016-11-18 02:28:10
sangat membantu sekali,5,2015-02-13 09:23:04
berguna buat guru,5,2017-07-12 13:55:35
sangat membantu ptk,5,2017-07-08 09:30:24
sangat membantu skali,5,2015-03-06 21:32:29
pada mu negeri,5,2015-08-16 20:55:33
tdk bs download,5,2016-01-27 18:25:54
aplikasi psling hebat,5,2016-04-20 18:17:51
luar biasa hebat,5,2014-09-19 23:09:33
oc siap pakai,5,2015-07-09 23:32:28
memudahkan sistem online,5,2015-06-23 15:22:41
semoga dapat membantu,5,2016-10-10 17:39:00
mudahan dapat membantu,5,2016-09-25 13:42:50
semoga bisa membantu,5,2015-02-10 22:39:09
menikmati kecanggihan tik,5,2015-02-10 17:32:11
kpn yg gratisannya,5,2015-02-13 11:43:17
tidak merepotkan org lain,5,2015-03-16 10:45:45
memudahkan mencari data,5,2018-03-07 11:36:22
akhirnya ketemu jga,5,2016-02-27 14:54:42
bgus buat guru,5,2015-03-11 00:58:12
bagus aplikasi nya,5,2015-02-16 13:28:52
santi m nur,5,2015-05-12 18:15:31
sangat membantu saya,5,2015-06-21 08:31:06
mantap,5,2014-09-30 14:07:40
mantap,5,2016-10-16 20:27:08
tank,5,2014-10-30 04:58:12
iike,5,2015-02-12 15:06:57
mantap,5,2018-04-03 19:31:01
memuaskan,5,2014-09-18 21:56:49
jajal,5,2017-10-28 12:16:08
bagus,5,2021-12-20 10:32:38
ok,5,2018-11-06 20:52:36
nice,5,2017-03-16 10:53:09
bagus,5,2020-06-13 23:19:08
aman,5,2018-07-01 17:04:32
mantap,5,2015-09-08 11:15:23
goodd,5,2016-02-23 07:09:05
siip,5,2015-03-07 15:34:52
alhamdulillah,5,2024-12-26 20:37:39
oke,5,2024-11-07 07:14:58
bermanfaat,5,2019-05-14 16:38:23
bagus,5,2024-01-25 18:15:43
good,5,2018-11-29 09:49:48
i like,5,2015-06-03 19:01:19
sip,5,2014-08-22 23:53:59
mantap,5,2015-01-19 19:48:07
alhamdulillah,5,2014-09-12 21:39:46
simpatika,5,2016-06-13 22:50:22
bagus,5,2018-03-01 08:42:24
ok,5,2014-11-03 15:24:52
mantab,5,2022-02-11 12:37:35
terimakasih,5,2018-11-29 15:45:42
good,5,2021-01-06 20:42:15
terimakasih,5,2018-11-07 07:49:35
good,5,2017-07-27 21:41:56
bagusssss,5,2019-04-20 19:27:49
bagus,5,2020-09-26 08:38:56
bagus,5,2015-12-21 10:36:36
ok,5,2018-03-21 08:22:16
nece,5,2015-02-09 09:27:47
bagus,5,2018-07-22 00:01:51
goods,5,2014-12-01 01:25:45
mantap,5,2018-08-12 22:55:47
ok,5,2018-11-03 17:00:04
i like,5,2016-09-10 16:47:34
memudahkan,5,2014-09-09 11:11:53
best,5,2018-03-30 08:16:31
online,5,2015-12-27 20:45:13
bagud,5,2022-01-29 09:17:43
membantu,5,2015-12-28 08:03:36
siiipppp,5,2014-11-18 12:13:45
ok,5,2016-11-21 20:16:01
mantap,5,2020-12-29 03:57:26
good,5,2015-02-03 18:30:17
maknyozzzzz,5,2015-02-07 11:13:08
manfaat,5,2015-04-23 11:12:45
sip,5,2017-09-20 15:43:39
ok,5,2021-02-11 17:35:00
mantul,5,2019-05-26 20:03:47
suka,5,2015-02-06 12:20:23
mantap,5,2018-11-25 19:13:28
mengesankan,5,2020-12-18 08:34:14
ok,5,2015-02-06 09:30:42
ok,5,2020-12-12 05:39:06
memudahkan,5,2015-04-21 09:15:08
membantu,5,2020-06-19 18:45:41
oke,5,2015-03-24 07:10:07
oke,5,2024-10-30 10:22:09
good,5,2015-04-07 18:51:35
ok,5,2021-11-08 00:04:50
keren,5,2014-09-10 15:41:22
baik,5,2019-05-16 19:31:44
sakiit,5,2015-10-18 08:26:55
mantap,5,2018-05-28 18:25:43
terpercaya,5,2022-01-12 02:48:28
mantap,5,2015-03-19 08:23:08
yes,5,2017-07-21 09:20:23
good,5,2016-06-21 22:09:36
ok,5,2019-10-30 10:51:11
bagus,5,2020-07-06 07:50:05
keren,5,2014-10-22 18:59:40
ok,5,2015-02-09 07:52:50
bagus,5,2018-04-24 08:02:54
bagus,5,2018-07-04 09:34:10
lanjukan,5,2018-12-17 11:09:04
sae,5,2014-10-17 19:04:37
good,5,2014-12-23 08:44:54
siiiip,5,2015-01-10 01:52:55
mantaaabbbb,5,2015-03-22 16:49:48
like,5,2014-11-27 19:10:12
bagus,5,2015-01-28 09:55:15
mantapp,5,2018-11-20 08:30:46
oce,5,2015-02-25 02:18:37
kereeeeen,5,2020-12-18 15:32:04
nice,5,2014-09-24 20:14:57
siip,5,2015-01-22 14:03:08
mantef,5,2017-05-29 20:21:27
sip,5,2018-11-12 08:35:31
mantaaap,5,2014-10-03 07:29:10
bagus,5,2016-03-25 19:49:59
simpatika simpatika,5,2024-12-27 18:50:14
mantaaap,5,2014-10-26 05:14:49
oke,5,2021-08-16 04:18:05
bagus,5,2014-09-11 10:12:00
ok,5,2015-03-22 05:48:11
sip,5,2018-11-05 11:12:45
good,5,2015-03-20 09:08:23
ok,5,2018-01-07 17:41:51
suka,5,2015-11-28 21:47:15
mantappp,5,2018-09-28 21:55:39
baik,5,2021-10-18 18:54:24
mantap,5,2020-10-03 17:04:03
good,5,2014-09-28 13:33:56
mantap,5,2014-10-17 21:54:34
bagus,5,2017-07-11 19:37:21
sipzzzz,5,2015-03-13 16:48:08
mantap,5,2023-05-27 10:11:08
sip,5,2015-04-03 00:24:07
siiiippppp,5,2015-02-24 19:14:45
hebet,5,2019-04-29 10:24:36
oke,5,2018-03-21 12:46:34
top,5,2020-05-10 05:43:58
oke,5,2015-03-06 10:55:46
mantap,5,2017-07-14 10:59:29
sip,5,2014-06-11 11:01:03
oke,5,2014-04-21 19:56:20
tingkatkan,5,2017-11-06 04:28:26
ok,5,2015-04-12 08:00:40
baik,5,2021-12-08 10:09:36
ok,5,2015-03-25 18:00:23
top,5,2018-05-22 20:31:07
mantaaaap,5,2015-01-02 19:58:42
mantap,5,2015-02-21 12:35:49
oke,5,2016-09-29 10:53:11
lanjutkan,5,2014-09-08 20:16:48
goodjob,5,2018-12-05 20:21:26
better,5,2015-01-10 14:58:40
hebat,5,2016-08-12 17:42:24
sipppppp,5,2014-10-15 00:39:24
goood,5,2015-04-18 19:01:46
nuptk,5,2016-07-27 00:01:52
sangat membantu,5,2015-06-11 00:16:27
alhamdulillah,5,2017-02-06 15:11:21
aamiin,5,2017-01-07 22:20:30
i like,5,2016-05-06 13:15:37
mantap,5,2014-10-21 17:52:55
sukses,5,2014-12-21 14:21:11
sangat bermanfaat,5,2015-02-05 06:36:56
siap ptk,5,2014-10-01 16:52:14
good to god,5,2014-11-23 06:03:28
semoga berhasil,5,2018-03-24 23:35:52
lumayan membantu,5,2015-12-04 12:20:59
membantu sekali,5,2017-02-20 12:48:59
terima kasih,5,2016-01-29 09:32:05
sangat bagus,5,2014-09-28 13:07:46
bagus sekali,5,2016-06-07 15:57:42
sangat membantu,5,2014-11-20 19:35:13
sangat membantu,5,2014-10-30 13:45:52
sangat membantu,5,2015-01-06 21:09:17
ok banget,5,2014-06-04 10:16:41
sip banget,5,2018-08-28 09:49:28
sangat membantu,5,2014-10-20 08:39:51
good for the job,5,2014-09-29 09:09:30
oke bingiiit,5,2015-02-04 16:50:47
good laah,5,2015-09-04 18:55:26
gud to begin,5,2014-06-12 08:02:21
membantu ptk,5,2015-01-05 21:15:15
memudahkan para pengguna,5,2014-12-20 21:32:54
tes dulu,5,2017-09-24 00:12:01
sangat bermanfaat,5,2014-10-27 14:35:19
very good,5,2015-07-02 03:15:32
sangat membantu,5,2015-08-23 16:14:39
bermanfaat banget,5,2015-06-05 18:05:30
good app,5,2018-10-14 01:54:08
sangat suka,5,2015-03-26 10:51:23
sip ok,5,2014-10-23 08:05:15
membantu skali,5,2015-03-03 07:23:54
sangat membantu,5,2014-11-05 21:54:49
siap untuk smartpon,5,2015-02-13 11:31:28
padamu negeri,5,2014-08-30 06:19:47
penting to guru,5,2015-01-10 16:40:56
akhirnya terpakai juga,5,2015-05-09 18:09:28
ini baru sip,5,2015-10-17 11:42:36
siap keerja,5,2015-07-25 14:28:45
padamu negeri,5,2015-02-14 20:26:43
sangat bermanfaat,5,2015-02-16 20:09:57
saya senang,5,2015-02-06 11:21:48
very good,5,2015-04-03 06:23:27
oke bangetz,5,2014-11-03 04:33:13
sangat bermanfaat,5,2015-05-24 20:23:48
bandung barat,5,2015-02-09 07:27:50
luar biada,5,2015-09-15 22:36:30
membantu sangat,5,2015-04-24 09:06:41
telkomsel mantap,5,2016-07-15 07:57:50
luar biasa,5,2016-11-02 13:30:54
mantap banget,5,2018-07-09 20:57:02
memudahkan pkt,5,2015-02-09 18:01:53
sangat membantu,5,2016-07-04 05:47:12
bagus sekali,5,2015-03-19 09:28:02
sangat membantu,5,2014-10-03 21:30:08
onle fakta,5,2016-09-26 13:20:10
dikbud alor,5,2015-08-09 08:31:09
sangat membantu,5,2017-09-06 08:25:10
sangat membantu,5,2015-04-14 00:09:49
lebih cepat,5,2015-01-08 12:01:03
sangat membantu,5,2015-04-24 06:08:18
,5,2017-03-11 09:02:29
ok,5,2015-10-31 01:31:16
muantap,5,2015-12-23 22:30:15
lebih mudah untuk mengecek ptk,4,2024-12-30 08:04:10
perlu ditingkatkan aplikasinya supaya tampilannya lebih indah lagi sukses satu data simpatika kemenag,4,2020-10-02 18:52:47
perubahan adalah sebuah keniscayaan kita sambut dengan senang aplikasi terbaru ini simpatika,4,2024-10-28 21:03:18
tingkatkan selalu keakuratannya,4,2018-12-06 13:05:48
admin coba bantu saya d web nama saya terdaftar tapi di aplikasi ini nama sy tidak ada mohon solusinya ,4,2024-05-24 15:46:30
bisa membantu pekerjaan ketika ada kepentingan pendidikan yang mendadak,4,2018-11-20 04:54:39
sebagian fitur belum tampil seperti gbpns,4,2019-02-21 06:05:36
alhamdulillah tsumma alhamdulillah sungguh sesuatu yang besar manfaatnya semoga benar benar menjadi bagian dari tercapainya generasi emas indonesia salam bergerak dengan senang hati menuju ridho illahi jadikan indonesia negara keren dimata dunia dengan merdeka belajar dan merdeka yang sesungguhnya yaitu berkarya  berinovasi bersinergi berkebaikan tanpa karena apapun tapi karena hanya ingin negeri ini selalu bahagia tersenyum dan dimana mana penuh kebaikan yang seharusnya sudah terjadi,4,2022-05-10 20:49:35
lagi coba mau pakai aplikasi ini mudahn sesuai yang diharapkan,4,2020-06-18 13:24:52
sangat membantu cuma rada lola,4,2019-09-13 14:14:43
sangat dipermudah oleh aplikasi ini,4,2019-04-27 00:43:40
memudahkan terkoneksi ke akun simpatika,4,2020-10-03 18:39:01
terus majukan bangsa dengan pendidikan yang religius,4,2019-03-30 11:57:57
lebih cepat dan terpercaya,4,2019-08-30 21:07:18
lebih mudah dan cept,4,2019-02-18 13:19:50
nyoba dulu yakalo benar membantu saya tambah bintangnya,4,2019-03-06 07:33:23
lebih mudah loginnya,4,2022-10-13 06:56:51
sementara baru mau nyoba nanti ditambah bintangnya,4,2019-02-01 08:42:47
bagus apk nya,4,2019-06-22 22:25:24
masih banyak yang harus diperbaiki,4,2018-10-12 17:58:19
mantap hebat bagus,4,2022-09-02 17:15:37
guru agama buddha adminya masih belum aktif,4,2019-08-21 15:05:33
sangat membantu,4,2019-04-25 18:15:32
sangat membantu,4,2020-12-15 05:03:33
sangat membantu,4,2020-11-17 09:39:13
cukup membantu,4,2019-03-13 16:21:56
hbs sangat membantu,4,2018-11-07 21:24:21
info lebih mudah,4,2022-01-08 06:54:46
sangat membantu,4,2019-05-11 12:24:23
sangat membantu,4,2019-10-12 08:26:56
cukup membantu,4,2019-09-13 10:29:41
moga makin succes ,4,2021-02-26 14:16:47
kasih  dulu,4,2019-02-07 10:17:01
baru di coba,4,2019-02-08 10:21:01
sip baik aja,4,2018-10-21 15:52:44
dicoba dulu,4,2019-02-08 13:17:27
